approach, model_name, tuning_mean, tuning_std
TVM-MetaSchedule,InceptionV3,1315.613213475545,61.21774367136459
TGC-MetaSchedule,InceptionV3,404.4807728258769,10.140444255585281
TVM-MetaSchedule,MobileNetV3,1007.455603026549,18.307726423964446
TGC-MetaSchedule,MobileNetV3,329.69443272670105,4.1679884681353
TVM-MetaSchedule,ResNeXt50,526.0040456104279,9.986322634662953
TGC-MetaSchedule,ResNeXt50,176.9610282341639,4.466950090257018
TVM-MetaSchedule,ResNet18,444.9346327447891,18.806116341664755
TGC-MetaSchedule,ResNet18,145.6537162454923,3.3147450931554365
TVM-MetaSchedule,AlexNet,420.0166737977664,10.864632444532985
TGC-MetaSchedule,AlexNet,141.50610577980677,11.401862303011988
TVM-MetaSchedule,WideResNet50,591.5176443680127,13.04318607086166
TGC-MetaSchedule,WideResNet50,194.02018802165986,6.593670439202196
TVM-MetaSchedule,MobileNetV2,641.4732864173253,10.011178076021727
TGC-MetaSchedule,MobileNetV2,213.83562973340355,3.413729543383963
TVM-MetaSchedule,GoogleNet,1472.1371235458055,38.60915412665186
TGC-MetaSchedule,GoogleNet,480.5995223323504,4.83053947370785
TVM-MetaSchedule,VGG16,420.96815830707544,102.64007764900126
TGC-MetaSchedule,VGG16,162.65214490572612,26.42997079022753
TVM-MetaSchedule,DenseNet121,2117.408101352851,17.292123047803283
TGC-MetaSchedule,DenseNet121,696.7437666185697,9.608507719750529
TVM-MetaSchedule,ResNet152,531.6065185952186,11.952752354371407
TGC-MetaSchedule,ResNet152,180.5800932073593,2.618348581379457
TVM-MetaSchedule,ResNet50,559.5620901290575,18.113832095667874
TGC-MetaSchedule,ResNet50,183.3789015555382,4.05333059687704

