approach, model_name, tuning_mean, tuning_std
TGC-Ansor,InceptionV3,308.4100389583906,8.646899099088282
TVM-Ansor,InceptionV3,770.0193730870883,43.286266504124264
TGC-Ansor,MobileNetV3,256.2543815167745,15.489820482401761
TVM-Ansor,MobileNetV3,735.6888461780549,26.621581223929173
TGC-Ansor,ResNeXt50,150.92566637913384,2.230142443992359
TVM-Ansor,ResNeXt50,420.8331664411227,9.891350671229294
TGC-Ansor,ResNet18,112.28885608990988,8.084711690559612
TVM-Ansor,ResNet18,287.07473351875944,17.71031222149687
TGC-Ansor,AlexNet,74.9948210589091,4.028238809486483
TVM-Ansor,AlexNet,183.52503273646036,13.483404294190011
TGC-Ansor,WideResNet50,167.9786376873652,2.6006668989973547
TVM-Ansor,WideResNet50,469.476552280585,3.6323104950817893
TGC-Ansor,MobileNetV2,149.83714281717934,12.399987347979897
TVM-Ansor,MobileNetV2,408.8111552898089,21.835921922415583
TGC-Ansor,GoogleNet,351.38244593381876,6.576244207889443
TVM-Ansor,GoogleNet,987.7219281069438,35.794000449603274
TGC-Ansor,VGG16,144.78575115998586,2.4251215389659597
TVM-Ansor,VGG16,392.7007931836446,7.829987191246141
TGC-Ansor,DenseNet121,392.0662135823568,8.360803308526215
TVM-Ansor,DenseNet121,1078.486023829778,11.103355386735712
TGC-Ansor,ResNet152,144.6570905184746,3.2447655005543177
TVM-Ansor,ResNet152,418.5183486143748,4.894426866531424
TGC-Ansor,ResNet50,142.6880007648468,8.143277298335665
TVM-Ansor,ResNet50,398.1741489402453,12.300893473525894
